Key,Student_ID,Question_ID,Source_Data,Chosen_Option,Reasoning_ID,Reasoning,Score
Pulley9-10-90_q7b1,Pulley9-10-90,q7b1,Pulley_Post_Y2,3,q7b2,stay the same because there is no friction and the height lifted is the same,3
Pulley9-10-90_q9,Pulley9-10-90,q9,Pulley_Post_Y2,3,q9a,since there is no friction and height lifted is the same then work is the same,3
Pulley9-10-90_q10,Pulley9-10-90,q10,Pulley_Post_Y2,1,q10a,a well-oiled pulley because friction will be less so force will be less    a rusty pulley will have more friction so more applied force,2
Pulley9-10-90_q11,Pulley9-10-90,q11,Pulley_Post_Y2,2,q11a,because distance was more when lifting the box to 2 meters work is more,1
Pulley9-10-90_q13,Pulley9-10-90,q13,Pulley_Post_Y2,4,q13a,because since it has more supporting strands applied force is less so the distance pulled is more so mechanical advantage is more,2
Pulley9-10-90_q14,Pulley9-10-90,q14,Pulley_Post_Y2,3,q14a,they both have the same amount of supporting strands so applied force will be the same so distance pulled will be the same so ma will be the same,2
Pulley9-10-9_q3a,Pulley9-10-9,q3a,Pulley_Post_Y2,3,q3b,Distance changes only if you add more string to the pulley.,0
Pulley9-10-9_q3c,Pulley9-10-9,q3c,Pulley_Post_Y2,2,q3d,The AF would decrease just a bit.,1
Pulley9-10-9_q4,Pulley9-10-9,q4,Pulley_Post_Y2,1,q4a,There will be less friction in the well oiled pulley.,2
Pulley9-10-9_q7a1,Pulley9-10-9,q7a1,Pulley_Post_Y2,2,q7a2,The AF would decrease just a bit.,1
Pulley9-10-9_q7b1,Pulley9-10-9,q7b1,Pulley_Post_Y2,2,q7b2,You would be doing less work if you lifted the pulley up that way.,0
Pulley9-10-9_q9,Pulley9-10-9,q9,Pulley_Post_Y2,1,q9a,It is easier to lift the box up using a pulley than to do it by hand.,0
Pulley9-10-9_q10,Pulley9-10-9,q10,Pulley_Post_Y2,3,q10a,You would be using the same amount of AF on both pulleys.,0
Pulley9-10-9_q11,Pulley9-10-9,q11,Pulley_Post_Y2,2,q11a,The distance was greater in the second situation.,1
Pulley9-10-9_q13,Pulley9-10-9,q13,Pulley_Post_Y2,4,q13a,It would be the best to use in almost any situation.,1
Pulley9-10-9_q14,Pulley9-10-9,q14,Pulley_Post_Y2,2,q14a,"There are more pulleys in the B pulley set up, so the work is divided up more eaisly.",0
Pulley9-10-89_q3a,Pulley9-10-89,q3a,Pulley_Post_Y2,3,q3b,The distance pulled would stay the same because you are still moving the watermelon the same distance.,0
Pulley9-10-89_q3c,Pulley9-10-89,q3c,Pulley_Post_Y2,2,q3d,"The applied force would decrease because a movable pulley can move with you, while a single fixed pulley doesn't move and the force doesn't change.",1
Pulley9-10-89_q4,Pulley9-10-89,q4,Pulley_Post_Y2,3,q4a,"Both pulleys will require the same applied force because they are both the same type of pulley, and they are being pulled the same distance.",0
Pulley9-10-89_q7a1,Pulley9-10-89,q7a1,Pulley_Post_Y2,2,q7a2,"A single movable pulley would decrease the amount of applied force because with a movable pulley, you have to pull more distance.  When you pull more distance, you reduce the applied force.",2
Pulley9-10-89_q7b1,Pulley9-10-89,q7b1,Pulley_Post_Y2,1,q7b2,The work done would increase because you are pulling the string a greater distance with a movable pullley.  More distance pulled means more work.,0
Pulley9-10-89_q9,Pulley9-10-89,q9,Pulley_Post_Y2,2,q9a,"Mary is doing more work because she has to pull a greater distance to move the object.  When you pull a greater distance, you are doing more work.",0
Pulley9-10-89_q10,Pulley9-10-89,q10,Pulley_Post_Y2,3,q10a,Both pulleys will require the same amount of work because the load is still being lifted the same distance.,0
Pulley9-10-89_q11,Pulley9-10-89,q11,Pulley_Post_Y2,2,q11a,"Jacob did more work when lifting the box 2 meters because the distance pulled increased.  When the distance pulled increases, the work increases.",1
Pulley9-10-89_q13,Pulley9-10-89,q13,Pulley_Post_Y2,4,q13a,"A double compound pulley will give the most mechanical advantage because you are pulling the greatest distance.  When you pull a larger distance, you are reducing the applied force.  When the applied force is reduced, the mechanical advantage goes up.",2
Pulley9-10-89_q14,Pulley9-10-89,q14,Pulley_Post_Y2,2,q14a,Pulley set-up B will give you the most mechanical advantage because you are pulling the greatest distance.,0
Pulley9-10-88_q3a,Pulley9-10-88,q3a,Pulley_Post_Y2,3,q3b,The distance pulled stayes the because your moving the pulley the same amount to get it to the treehouse,0
Pulley9-10-88_q3c,Pulley9-10-88,q3c,Pulley_Post_Y2,3,q3d,youo are still exreting the same amount to amount of AF to lift the melon,0
Pulley9-10-88_q4,Pulley9-10-88,q4,Pulley_Post_Y2,1,q4a,The well oil pulley because it has less friction ,2
Pulley9-10-88_q7a1,Pulley9-10-88,q7a1,Pulley_Post_Y2,2,q7a2,The moveble pulley will decreas the AF because the you pull which decrease AF,1
Pulley9-10-88_q7b1,Pulley9-10-88,q7b1,Pulley_Post_Y2,3,q7b2,There you be equal amount of work because driction doesn't effect work ,0
Pulley9-10-88_q9,Pulley9-10-88,q9,Pulley_Post_Y2,1,q9a,Mary is doing less work because a DC reduces work and lifting something strait up has more work,0
Pulley9-10-88_q10,Pulley9-10-88,q10,Pulley_Post_Y2,1,q10a,The well oil pulley because it has less friction ,3
Pulley9-10-88_q11,Pulley9-10-88,q11,Pulley_Post_Y2,3,q11a,The distance moved doesn't change work,0
Pulley9-10-88_q13,Pulley9-10-88,q13,Pulley_Post_Y2,4,q13a,In my hands on experiment I use a DC and MA was at 4.4,1
Pulley9-10-88_q14,Pulley9-10-88,q14,Pulley_Post_Y2,4,q14a,Did not learn,0
Pulley9-10-87_q3a,Pulley9-10-87,q3a,Pulley_Post_Y2,1,q3b,When you use a moveable pulley it has greater Ma and the single movable has almost none  ,2
Pulley9-10-87_q3c,Pulley9-10-87,q3c,Pulley_Post_Y2,2,q3d,when you use asingle movble it really is only thier to help like a stapler,0
Pulley9-10-87_q4,Pulley9-10-87,q4,Pulley_Post_Y2,1,q4a,The slicker the surface the less frition and the less applied force ,2
Pulley9-10-87_q7a1,Pulley9-10-87,q7a1,Pulley_Post_Y2,2,q7a2,Again a single movable pulley is only there to make work easier and not decrease A.F,0
Pulley9-10-87_q7b1,Pulley9-10-87,q7b1,Pulley_Post_Y2,3,q7b2,Work stays the same if you are doing the same Job,2
Pulley9-10-87_q9,Pulley9-10-87,q9,Pulley_Post_Y2,1,q9a,Work would stay the same because they  are doing the same Job the pulley just gives jane more MA and less A.F,2
Pulley9-10-87_q10,Pulley9-10-87,q10,Pulley_Post_Y2,3,q10a,Less friction the less resistance and A.F,0
Pulley9-10-87_q11,Pulley9-10-87,q11,Pulley_Post_Y2,2,q11a,There is greater work becuase you ghave to lift it higher,1
Pulley9-10-87_q13,Pulley9-10-87,q13,Pulley_Post_Y2,4,q13a,the greater the distance the greater the MA,2
Pulley9-10-87_q14,Pulley9-10-87,q14,Pulley_Post_Y2,3,q14a,Your are not increasing distance ,2
Pulley9-10-86_q3a,Pulley9-10-86,q3a,Pulley_Post_Y2,1,q3b,"in order to use less force, you will have to pull a greater amount of distance because work is the same",2
Pulley9-10-86_q3c,Pulley9-10-86,q3c,Pulley_Post_Y2,2,q3d,distance increases when force decreases,2
Pulley9-10-86_q4,Pulley9-10-86,q4,Pulley_Post_Y2,1,q4a,"there would be less friction, therefore less force",2
Pulley9-10-86_q7a1,Pulley9-10-86,q7a1,Pulley_Post_Y2,2,q7a2,the distance would increase so the force would decrease,2
Pulley9-10-86_q7b1,Pulley9-10-86,q7b1,Pulley_Post_Y2,3,q7b2,"distance goes up, force goes down, work stays the same",2
Pulley9-10-86_q9,Pulley9-10-86,q9,Pulley_Post_Y2,3,q9a,Jane goes less distance but uses more force Mary uses less force but goes a greater distance Work stays the same,2
Pulley9-10-86_q10,Pulley9-10-86,q10,Pulley_Post_Y2,2,q10a,"The distance would stay the same, but the force would go up because of friction",2
Pulley9-10-86_q11,Pulley9-10-86,q11,Pulley_Post_Y2,2,q11a,Lifting the box 1 meter has the same force but a smaller distance Lifting the box 2 meters has the smae force but a greater distance,2
Pulley9-10-86_q13,Pulley9-10-86,q13,Pulley_Post_Y2,4,q13a,"You pull a greater distance, but the distance the object moves stays the same",2
Pulley9-10-86_q14,Pulley9-10-86,q14,Pulley_Post_Y2,2,q14a,In pulley set up b you are pulling a greater distance but moving the object the same amount of distance,0
Pulley9-10-85_q3a,Pulley9-10-85,q3a,Pulley_Post_Y2,3,q3b,The only difference is that one moves.,0
Pulley9-10-85_q3c,Pulley9-10-85,q3c,Pulley_Post_Y2,3,q3d,I took a guess.,0
Pulley9-10-85_q4,Pulley9-10-85,q4,Pulley_Post_Y2,1,q4a,There is less friction.,2
Pulley9-10-85_q7a1,Pulley9-10-85,q7a1,Pulley_Post_Y2,3,q7a2,I took a guess.,0
Pulley9-10-85_q7b1,Pulley9-10-85,q7b1,Pulley_Post_Y2,3,q7b2,Work is the job that you do.,2
Pulley9-10-85_q9,Pulley9-10-85,q9,Pulley_Post_Y2,3,q9a,The work is the job that you do.,2
Pulley9-10-85_q10,Pulley9-10-85,q10,Pulley_Post_Y2,3,q10a,Work is the job that you do.,0
Pulley9-10-85_q11,Pulley9-10-85,q11,Pulley_Post_Y2,2,q11a,You are not doing the same job.,1
Pulley9-10-85_q13,Pulley9-10-85,q13,Pulley_Post_Y2,4,q13a,I took a guess because I drew a blank.,0
Pulley9-10-85_q14,Pulley9-10-85,q14,Pulley_Post_Y2,3,q14a,I guessed because I drew a blank.,0
Pulley9-10-84_q3a,Pulley9-10-84,q3a,Pulley_Post_Y2,1,q3b,because you would have to make the distance pulled increase,1
Pulley9-10-84_q3c,Pulley9-10-84,q3c,Pulley_Post_Y2,4,q3d,???,0
Pulley9-10-84_q4,Pulley9-10-84,q4,Pulley_Post_Y2,1,q4a,because a well oiled pulley is more likely 2 work better than a rusty pulley,1
Pulley9-10-84_q7a1,Pulley9-10-84,q7a1,Pulley_Post_Y2,1,q7a2,because the distance moved would increase,0
Pulley9-10-84_q7b1,Pulley9-10-84,q7b1,Pulley_Post_Y2,4,q7b2,???,0
Pulley9-10-84_q9,Pulley9-10-84,q9,Pulley_Post_Y2,1,q9a,because she has to hall it straight up,0
Pulley9-10-84_q10,Pulley9-10-84,q10,Pulley_Post_Y2,1,q10a,because a rusty pulley will not work as well as the oiled pulley,1
Pulley9-10-84_q11,Pulley9-10-84,q11,Pulley_Post_Y2,2,q11a,because the distance pulled will increase,1
Pulley9-10-84_q13,Pulley9-10-84,q13,Pulley_Post_Y2,3,q13a,?,0
Pulley9-10-84_q14,Pulley9-10-84,q14,Pulley_Post_Y2,2,q14a,because the string is longer,0
Pulley9-10-83_q3a,Pulley9-10-83,q3a,Pulley_Post_Y2,1,q3b,single fixed has two strands that support it,0
Pulley9-10-83_q3c,Pulley9-10-83,q3c,Pulley_Post_Y2,2,q3d,single fixed have two strands to sopport it,1
Pulley9-10-83_q4,Pulley9-10-83,q4,Pulley_Post_Y2,1,q4a,the well oiled one would be easer to move because the pulley weel its self needs to turn for the laod to move ,1
Pulley9-10-83_q7a1,Pulley9-10-83,q7a1,Pulley_Post_Y2,3,q7a2,there is no friction ,0
Pulley9-10-83_q7b1,Pulley9-10-83,q7b1,Pulley_Post_Y2,3,q7b2,tere is no friction,1
Pulley9-10-83_q9,Pulley9-10-83,q9,Pulley_Post_Y2,,q9a,,0
Pulley9-10-83_q10,Pulley9-10-83,q10,Pulley_Post_Y2,,q10a,,0
Pulley9-10-83_q11,Pulley9-10-83,q11,Pulley_Post_Y2,,q11a,,0
Pulley9-10-83_q13,Pulley9-10-83,q13,Pulley_Post_Y2,4,q13a,has more sopporting strands ,2
Pulley9-10-83_q14,Pulley9-10-83,q14,Pulley_Post_Y2,2,q14a,tere is to pulles on b,0
Pulley9-10-82_q3a,Pulley9-10-82,q3a,Pulley_Post_Y2,1,q3b,You would need more string,1
Pulley9-10-82_q3c,Pulley9-10-82,q3c,Pulley_Post_Y2,1,q3d,because you are pulling your load and one pulley,0
Pulley9-10-82_q4,Pulley9-10-82,q4,Pulley_Post_Y2,1,q4a,It would slide smoothly,1
Pulley9-10-82_q7a1,Pulley9-10-82,q7a1,Pulley_Post_Y2,1,q7a2,because you are pulling your load and one of the pulleys,0
Pulley9-10-82_q7b1,Pulley9-10-82,q7b1,Pulley_Post_Y2,1,q7b2,It would slide smoothly,0
Pulley9-10-82_q9,Pulley9-10-82,q9,Pulley_Post_Y2,2,q9a,she is lifting it straight up,0
Pulley9-10-82_q10,Pulley9-10-82,q10,Pulley_Post_Y2,1,q10a,it would slide smoothly,1
Pulley9-10-82_q11,Pulley9-10-82,q11,Pulley_Post_Y2,1,q11a,it is a lesser distance,0
Pulley9-10-82_q13,Pulley9-10-82,q13,Pulley_Post_Y2,1,q13a,it would be less work,0
Pulley9-10-82_q14,Pulley9-10-82,q14,Pulley_Post_Y2,2,q14a,it is a longer distance,0
Pulley9-10-81_q3a,Pulley9-10-81,q3a,Pulley_Post_Y2,1,q3b,A movable pulley uses less force but would increase the distance,1
Pulley9-10-81_q3c,Pulley9-10-81,q3c,Pulley_Post_Y2,2,q3d,You increase the distance you need to pull and that reduces force.,2
Pulley9-10-81_q4,Pulley9-10-81,q4,Pulley_Post_Y2,1,q4a,The friction would be the least and that would reduce force.,2
Pulley9-10-81_q7a1,Pulley9-10-81,q7a1,Pulley_Post_Y2,2,q7a2,The movable pulley uses more distance to pull but the force would decrease.,2
Pulley9-10-81_q7b1,Pulley9-10-81,q7b1,Pulley_Post_Y2,3,q7b2,When force goes down and distance goes up they balance out and the work stays the same,2
Pulley9-10-81_q9,Pulley9-10-81,q9,Pulley_Post_Y2,3,q9a,One reduces force and the other reduces distance but both balance out to have the same amount of work.,2
