student code,"q3a: You used a single fixed pulley to lift a watermelon to your tree house.  If you changed it to a single movable pulley and ignore the effects of friction, the distance pulled would:

Correct option = 1, ""Increase""",,q3b: Explain your reasoning about the distance pulled. ,q3b code,"q3c: the applied force required would: 

Correct option = 2, ""Decrease""",,q3d:Explain your reasoning about the applied force required. ,q3d code,"q4: Which of the following will require less applied force to lift a load to a height of 2 meters using a single fixed pulley? 

Correct option = 1, ""A well-oiled pulley""",,q4a: Explain your reasoning about the applied force required. ,q4a code,"q7a1: You used a single fixed pulley to lift a watermelon to your tree house.  If you used a single movable pulley instead and ignore the effects of friction, the applied force needed would: 

Correct option = 2, ""Decrease""",,q7a2: Explain your reasoning about the applied force needed.,q7a2 code,"q7b1: ...the work done would: 

Correct option = 3, ""Stay the same""",,q7b2: Explain your reasoning about the work done.,q7b2 code,"q9: Jane is lifting a box straight up to a height of 1 meter. Mary is using the pulley shown below to lift the same box to the same height.  If you ignore friction, what can you tell about the work done by Jane and Mary?

Correct option = 3, ""Jane and Mary are doing the same work""",,q9a: Explain your reasoning about the work done in this question.,q9a code,"q10: Which of the following will require more work to lift a load to a height of 2 meters if you are using a single fixed pulley? 

Correct option = 2, ""A rusty pulley that needs to be oiled""",,q10a: Explain your reasoning about the work required. ,q10a code,"q11: Jacob uses a fixed pulley to lift a box 1 meter. He then uses the same pulley to lift an identical box 2 meters. In which condition did Jacob do more work?

Correct option = 2, ""When lifting the box 2 meters""",,q11a: Explain your reasoning about the work done in this question.,q11a code,"q13: If you ignore friction, which one of the following pulley set-ups will give the most mechanical advantage?
 
Correct option =  4, ""A double compound pulley""",,q13a: Explain your reasoning about mechanical advantage in this question.,q13a code,"q14: If you ignore friction, which one of the following pulley set-ups will give more mechanical advantage?

Correct option = 3, ""Pulley set-up A and Pulley set-up B will give you the same mechanical advantage""",,q14a: Explain your reasoning about mechanical advantage in this question.,q14a code
Pulley9-10-9,3,Stay the same,Distance changes only if you add more string to the pulley.,0,2,Decrease,The AF would decrease just a bit.,1,1,A well-oiled pulley,There will be less friction in the well oiled pulley.,2,2,Decrease,The AF would decrease just a bit.,1,2,Decrease,You would be doing less work if you lifted the pulley up that way.,0,1,Jane is doing more work,It is easier to lift the box up using a pulley than to do it by hand.,0,3,Both pulleys will require the same work,You would be using the same amount of AF on both pulleys.,0,2,When lifting the box 2 meters,The distance was greater in the second situation.,1,4,A double compound pulley,It would be the best to use in almost any situation.,1,2,Pulley set-up B,"There are more pulleys in the B pulley set up, so the work is divided up more eaisly.",0
Pulley9-10-89,3,Stay the same,The distance pulled would stay the same because you are still moving the watermelon the same distance.,0,2,Decrease,"The applied force would decrease because a movable pulley can move with you, while a single fixed pulley doesn't move and the force doesn't change.",1,3,Both pulleys will require the same applied force,"Both pulleys will require the same applied force because they are both the same type of pulley, and they are being pulled the same distance.",0,2,Decrease,"A single movable pulley would decrease the amount of applied force because with a movable pulley, you have to pull more distance.  When you pull more distance, you reduce the applied force.",2,1,Increase,The work done would increase because you are pulling the string a greater distance with a movable pullley.  More distance pulled means more work.,0,2,Mary is doing more work,"Mary is doing more work because she has to pull a greater distance to move the object.  When you pull a greater distance, you are doing more work.",0,3,Both pulleys will require the same work,Both pulleys will require the same amount of work because the load is still being lifted the same distance.,0,2,When lifting the box 2 meters,"Jacob did more work when lifting the box 2 meters because the distance pulled increased.  When the distance pulled increases, the work increases.",1,4,A double compound pulley,"A double compound pulley will give the most mechanical advantage because you are pulling the greatest distance.  When you pull a larger distance, you are reducing the applied force.  When the applied force is reduced, the mechanical advantage goes up.",2,2,Pulley set-up B,Pulley set-up B will give you the most mechanical advantage because you are pulling the greatest distance.,0
Pulley9-10-88,3,Stay the same,The distance pulled stayes the because your moving the pulley the same amount to get it to the treehouse,0,3,Stay the same,youo are still exreting the same amount to amount of AF to lift the melon,0,1,A well-oiled pulley,The well oil pulley because it has less friction ,2,2,Decrease,The moveble pulley will decreas the AF because the you pull which decrease AF,1,3,Stay the same,There you be equal amount of work because driction doesn't effect work ,0,1,Jane is doing more work,Mary is doing less work because a DC reduces work and lifting something strait up has more work,0,1,A well-oiled pulley,The well oil pulley because it has less friction ,3,3,The amount of work done was the same,The distance moved doesn't change work,0,4,A double compound pulley,In my hands on experiment I use a DC and MA was at 4.4,1,4,Not enough information to decide,Did not learn,0
Pulley9-10-87,1,Increase,When you use a moveable pulley it has greater Ma and the single movable has almost none  ,2,2,Decrease,when you use asingle movble it really is only thier to help like a stapler,0,1,A well-oiled pulley,The slicker the surface the less frition and the less applied force ,2,2,Decrease,Again a single movable pulley is only there to make work easier and not decrease A.F,0,3,Stay the same,Work stays the same if you are doing the same Job,2,1,Jane is doing more work,Work would stay the same because they  are doing the same Job the pulley just gives jane more MA and less A.F,2,3,Both pulleys will require the same work,Less friction the less resistance and A.F,0,2,When lifting the box 2 meters,There is greater work becuase you ghave to lift it higher,1,4,A double compound pulley,the greater the distance the greater the MA,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,Your are not increasing distance ,2
Pulley9-10-86,1,Increase,"in order to use less force, you will have to pull a greater amount of distance because work is the same",2,2,Decrease,distance increases when force decreases,2,1,A well-oiled pulley,"there would be less friction, therefore less force",2,2,Decrease,the distance would increase so the force would decrease,2,3,Stay the same,"distance goes up, force goes down, work stays the same",2,3,Jane and Mary are doing the same work,Jane goes less distance but uses more force Mary uses less force but goes a greater distance Work stays the same,2,2,A rusty pulley that needs to be oiled,"The distance would stay the same, but the force would go up because of friction",2,2,When lifting the box 2 meters,Lifting the box 1 meter has the same force but a smaller distance Lifting the box 2 meters has the smae force but a greater distance,2,4,A double compound pulley,"You pull a greater distance, but the distance the object moves stays the same",2,2,Pulley set-up B,In pulley set up b you are pulling a greater distance but moving the object the same amount of distance,0
Pulley9-10-85,3,Stay the same,The only difference is that one moves.,0,3,Stay the same,I took a guess.,0,1,A well-oiled pulley,There is less friction.,2,3,Stay the same,I took a guess.,0,3,Stay the same,Work is the job that you do.,2,3,Jane and Mary are doing the same work,The work is the job that you do.,2,3,Both pulleys will require the same work,Work is the job that you do.,0,2,When lifting the box 2 meters,You are not doing the same job.,1,4,A double compound pulley,I took a guess because I drew a blank.,0,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,I guessed because I drew a blank.,0
Pulley9-10-84,1,Increase,because you would have to make the distance pulled increase,1,4,Not enough information to decide,???,0,1,A well-oiled pulley,because a well oiled pulley is more likely 2 work better than a rusty pulley,1,1,Increase,because the distance moved would increase,0,4,Not enough information to decide,???,0,1,Jane is doing more work,because she has to hall it straight up,0,1,A well-oiled pulley,because a rusty pulley will not work as well as the oiled pulley,1,2,When lifting the box 2 meters,because the distance pulled will increase,1,3,One movable pulley,?,0,2,Pulley set-up B,because the string is longer,0
Pulley9-10-83,1,Increase,single fixed has two strands that support it,0,2,Decrease,single fixed have two strands to sopport it,1,1,A well-oiled pulley,the well oiled one would be easer to move because the pulley weel its self needs to turn for the laod to move ,1,3,Stay the same,there is no friction ,0,3,Stay the same,tere is no friction,1,,,,0,,,,0,,,,0,4,A double compound pulley,has more sopporting strands ,2,2,Pulley set-up B,tere is to pulles on b,0
Pulley9-10-82,1,Increase,You would need more string,1,1,Increase,because you are pulling your load and one pulley,0,1,A well-oiled pulley,It would slide smoothly,1,1,Increase,because you are pulling your load and one of the pulleys,0,1,Increase,It would slide smoothly,0,2,Mary is doing more work,she is lifting it straight up,0,1,A well-oiled pulley,it would slide smoothly,1,1,When lifting the box 1 meter,it is a lesser distance,0,1,One fixed pulley,it would be less work,0,2,Pulley set-up B,it is a longer distance,0
Pulley9-10-81,1,Increase,A movable pulley uses less force but would increase the distance,1,2,Decrease,You increase the distance you need to pull and that reduces force.,2,1,A well-oiled pulley,The friction would be the least and that would reduce force.,2,2,Decrease,The movable pulley uses more distance to pull but the force would decrease.,2,3,Stay the same,When force goes down and distance goes up they balance out and the work stays the same,2,3,Jane and Mary are doing the same work,One reduces force and the other reduces distance but both balance out to have the same amount of work.,2,1,A well-oiled pulley,"This will reduce friction compared to a rusty pully and both will stay the same distance needed to pull but the rusty pulley will have more friction, increasing force only and therefore the well oiled pulley uses less force.",2,2,When lifting the box 2 meters,He increased the distance without increasing the force and that increases work.,2,4,A double compound pulley,"This increases the distance you pull and when you increase the top part of a fraction like in this-  distance you pull/distance object moved then the Answer, MA, would increase.",2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,1,1
Pulley9-10-80,3,Stay the same,it is like the same pulley just at a different place.,0,1,Increase,pulleying up is more hard then pulleying down ,0,1,A well-oiled pulley,with a rusty pulley the pulley wont slide well on the axle as if it were on a well oiled axle ,1,1,Increase,you are just pulleying up with a moveable pulley,0,3,Stay the same,work is the same 2 numbers the whole time ,1,3,Jane and Mary are doing the same work,work stays the same,1,2,A rusty pulley that needs to be oiled,one will be harder to slide accross the axle,1,3,The amount of work done was the same,just pulled it ferther ,0,4,A double compound pulley,the distance pulled will be greater ,2,2,Pulley set-up B,more pulleys ,0
Pulley9-10-8,3,Stay the same,They both use the same amount of distance.,0,3,Stay the same,They both use the same amount of applied force.,0,1,A well-oiled pulley,There wont be as much friction. ,2,3,Stay the same,They both use the same amount of applied force; same as question 3c.,0,3,Stay the same,"The distance is the same and the force is the same, so the work will stay the same.",0,3,Jane and Mary are doing the same work,"Jane is applying more force but has less distane. Mary has less applied force, but moves a greater distance. ",2,2,A rusty pulley that needs to be oiled,The rust will cause more friction wjich will make for more applied force in the same amount of distane so the rusty pulley will have more work.,2,2,When lifting the box 2 meters,"The applied force is the same, but the distance is more so it requires more work. ",2,4,A double compound pulley,It has the most pulleys in its system so the mechanical advantage will be greater.,1,2,Pulley set-up B,"It has more pulleys, so its mechanical advantage will be greater.",0
Pulley9-10-79,1,Increase,the pulley could move so the distance would be more,1,3,Stay the same,a single fixed pulley doesnt reduce force ,0,1,A well-oiled pulley,if the pulley is rusted then there will be more friction which will cause more force to be needed,2,2,Decrease,in the lab the moveable pulleys decreased the amount of force needed,1,3,Stay the same,the distance would go up and force goes down so the work is the same,2,3,Jane and Mary are doing the same work,the distance goes up and force goes down so work stays the same,2,2,A rusty pulley that needs to be oiled,the distance is the same but the force is more because the pulley is rusty therefore the work is more,2,1,When lifting the box 1 meter,the distance was more doing 2m than 1m and the force was the same so the work is more in 1m,0,4,A double compound pulley,the double compound has more less force than the others so the mechanical advantage is greater,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,same amount of force needed because in the lab adding another fixed pulley didnt change anything,1
Pulley9-10-78,3,Stay the same,The movible and the sigle fixed are he same because they don't have any suppporting strands. ,0,3,Stay the same,they are both only have one pulley on and are not compound with one strand so it would stay the same.,0,1,A well-oiled pulley,there would be less friction causing the A.P.to be less ,2,2,Decrease,A double compound pullet has supoporting strands so the A.P.  would be less. ,2,2,Decrease,the work would decrease beacuase again there is more supporting strands,0,1,Jane is doing more work,The work done is decreased by Mary using the pulley system because she is using the fulcrum of the pulley and a wheel and axle.,0,1,A well-oiled pulley,less friction,0,2,When lifting the box 2 meters,distance x force = A.F.,1,4,A double compound pulley,there is more supporting strands,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,there are two pullies but there isn't any supporting strands,2
Pulley9-10-77,1,Increase,Ya gotta pull it more to make it go the same distance...obviously. I picked it because it takes less aplide force and its the right answer,1,2,Decrease,The aplide force is less in a movable pulley vs a fixed pulley,1,1,A well-oiled pulley,The friction would go down,2,2,Decrease,Bcuz a single movable pulley uses less aplide force so to get the right answer i pick...the right answer! good!sorry im a little mad today I'm ussually not like that.,1,3,Stay the same,1,1,3,Jane and Mary are doing the same work,"Bcuz work is always the same right?Anyway hahahahahahahahahahahahahahaha Mary and Jane hahahahahahahahahahahahahahahaha i'm still mad though, thanks for trying I apreciate that.",1,2,A rusty pulley that needs to be oiled,Bcuz more friction,2,2,When lifting the box 2 meters,"Ah deedeedee he lifted it more so that would be,suprise suprise,MORE WORK!You guys probably hate my aditude, but i didnt have it on the other tests so I hope you remember that",1,4,A double compound pulley,It uses the least amount of force so the MA would go up,1,2,Pulley set-up B,Less force,0
Pulley9-10-76,3,Stay the same,same string and only one pully,0,3,Stay the same,it its still one pully,0,1,A well-oiled pulley,less friction to over come,2,3,Stay the same,it is still one pully only,0,3,Stay the same,same distance and force,0,2,Mary is doing more work,pullys uses more work but less friction,0,2,A rusty pulley that needs to be oiled,more force is applyed so work goes up,2,2,When lifting the box 2 meters,more distance pulled more work,1,4,A double compound pulley,more pullyes more distance pulled more ma,2,2,Pulley set-up B,more pullyes so more distance pulled,0
Pulley9-10-75,1,Increase,the distance would increase because your pulling higher.,0,1,Increase,It is harder than pulling up than pulling down.,0,1,A well-oiled pulley,It would make less friction.,2,2,Decrease,It will decrease because your pulling down.,0,2,Decrease,It s harder to up rather than down.,0,2,Mary is doing more work,Mary because it less distance.,0,1,A well-oiled pulley,less friction,0,2,When lifting the box 2 meters,He is going less distance.,1,1,One fixed pulley,there is less distance.,0,2,Pulley set-up B,The more pulleys the better.,0
Pulley9-10-74,3,Stay the same,your still pulling the same distance ,0,1,Increase,your pulling up which is harder than pulling down ,0,1,A well-oiled pulley,the oiled is moving easier than the rust one,1,1,Increase,your pulling up which is harder than pulling down ,0,3,Stay the same,when thers no friction the work stays the same,1,1,Jane is doing more work,the compound has more supporting strands,0,3,Both pulleys will require the same work,the distance pulled is the same still and distance oblect moved,0,2,When lifting the box 2 meters,the distance pulled will change because hes pulling it higher,1,4,A double compound pulley,thers more supporting strands which adds to M.A.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,on the simulation there was a buuen that add a pully to the side and it change anything,1
Pulley9-10-73,1,Increase,a single movable requires less applied force and the more distance pulled the less applied force.,2,2,Decrease,the more supporting strands the less applied force.,2,1,A well-oiled pulley,when its rusty it will have more friction and that is more applied force.,2,2,Decrease,the more supporting strands the less applied force,2,1,Increase,i dont know,0,2,Mary is doing more work,i dont know,0,4,Not enough information to decide,i dont know,0,2,When lifting the box 2 meters,i dont know,0,4,A double compound pulley,i dont know,0,2,Pulley set-up B,i dont know,0
Pulley9-10-72,1,Increase,The distance would increase because the force will decrease.,2,2,Decrease,Applied force required in a movable pulley is less than in a fixed pulley.,1,1,A well-oiled pulley,"A well oiled pulley has less friction, so that would make the pulley use less applied force.",2,2,Decrease,Applied force required in a movable pulley is less than in a fixed pulley.,1,3,Stay the same,"In a movable pulley you are pulling more distance, and in a fixed pulley you are using more force, so the work is the same.",2,1,Jane is doing more work,"Jane needs to use more force to lift the object to the same height as mary is, but mary's pulley reduces force, which also reduces work.",0,2,A rusty pulley that needs to be oiled,"A rusty pulley would increase applied force, which would also increase the work. (f*d=w)",2,2,When lifting the box 2 meters,"He is using the same applied force, but over a greater distance so his work would increase.",2,4,A double compound pulley,"The MA is the greatest in a compound pulley, so in a double compound, it is much better than a fixed or movable pulley.",1,2,Pulley set-up B,"The distance the string is pulled goes up, so the MA goes up too.",0
Pulley9-10-71,1,Increase,"Since movable pulleys decrease applied force, they increase distance.",2,2,Decrease,"Movable pulleys have a MA of 2, so the applied force would decrease.",2,1,A well-oiled pulley,"A well-oiled pulley would have less friction, making less applied force required.",2,2,Decrease,Movable pulleys decrease applied force because they have a MA of 2.,2,3,Stay the same,The work would stay the same because the distance would increase.,1,3,Jane and Mary are doing the same work,They are doing the same work because Mary decreases applied force and increases distance. ,2,2,A rusty pulley that needs to be oiled,Friction causes applied force to go up without decreasing distance.,2,2,When lifting the box 2 meters,He increased the distance without decreasing the applied force.,2,4,A double compound pulley,"A double compound pulley will have a mechanical advantage of 4, which is greater than the rest.  This is because the distance pulled is longer with more movable pulleys.",2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,"Fixed pulleys have a MA of 1, and together, they will still have a MA of 1.",1
Pulley9-10-70,1,Increase,"because the single fixed pulley uses the least amount string, a commparisin is the quaduple pulley uses the most amount of string ",1,2,Decrease,well in our expiriments we leaned that the single fixed pulley doed not even decrease the applied force ,1,1,A well-oiled pulley,the more smoothed or oiled the less fricton will ocurr. the more friction the more applied force is nedded,2,2,Decrease,well even tho the movable pulley does not decease the applied force that much it is better than the single fixed pulley which does not even decrease the applied force ,1,1,Increase,because the movable pulley you have to pull the string a longer distance so work is force x DISTANCE,0,1,Jane is doing more work,wel we know tht all pulley excpt single fixed pulleys reduce the force making mary do the less force,0,1,A well-oiled pulley,if it is rusty it will make more friction which makes more force which makes more WORK,0,2,When lifting the box 2 meters,because in box 2 he lifted the box higher which causes more wok because work= force x distance,1,4,A double compound pulley,the MA would be 4 and the more pulleys right next to each other the more MA there is,2,1,Pulley set-up A,because the distance pulled is going to be bigger in b,0
Pulley9-10-7,2,Decrease,cause single fix uses less string to pull it up,0,1,Increase,cause your lifting it higher and higher,0,1,A well-oiled pulley,the smoother the pulley the easier to pull,1,2,Decrease,cause the movable in our experiment required less force to lift the object up,1,2,Decrease,cause in our experiment itrequired less work to lift the objest up,0,1,Jane is doing more work,sense friction doesnt matter its easier to lift it up,0,2,A rusty pulley that needs to be oiled,sense the pulley isnt smooth more friction accuries,2,2,When lifting the box 2 meters,the higher u lift it the more work is needed,1,4,A double compound pulley,in a double compound pulley there is more M.A. ,1,2,Pulley set-up B,in our experiment the double fix had more M.A.,0
